STAND 1, SURVEY DATE: 8 Aug 1980, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6, R.A. Ellis (#2) ROWS: 0,2,8, DATA ENTRY: 23 Oct 1995	(This was the first survey of stand 1; "R" and "." not used)

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA  10.0  50.0  20.0	 5.0  20.0   5.0  25.0	20.0  25.0  50.0   5.0	 5.0   5.0   7.0  15.0	 5.0  30.0   3.0  10.0	10.0   0.5  40.0   0.0	30.0  15.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ALCR   0.0   0.0   1.0	 0.5  25.0  15.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.5   0.0   0.0   0.0	 0.0   0.0
AMAL   3.0   1.0   2.0	 1.0   0.0   0.0   1.0	 5.0   3.0   0.0   2.0	 1.0   1.0   0.5   0.0	 0.5   1.0   1.0   1.0	 1.0   0.0   0.5   3.0	 0.0   0.5
ARUV  40.0   5.0  45.0	30.0  10.0  20.0  15.0	25.0  25.0  25.0  15.0	10.0  20.0  20.0  35.0	20.0  40.0  30.0  20.0	15.0  20.0  30.0  15.0	40.0  40.0
PRPE   3.0   0.0   0.0	 0.0   0.0   1.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ROAC   5.0   1.0   0.0	 0.0   1.0   3.0   0.0	 0.0   0.0   2.0   0.5	 2.0   3.0   0.5   0.0	 0.5   010   0.5   0.0	 1.0   0.0   0.0   0.5	 1.0   0.5
RUID   0.0   0.0   0.0	 0.0   0.0   1.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
SHCA   0.0   0.0   1.0	 0.0   0.0   0.0   0.0	 1.0   0.0   2.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
VAMY   0.0   0.5   0.5	 0.0   1.0   1.0   0.5	 3.0   3.0   3.0   0.0	 1.0   2.0   5.0   0.0	 2.0   1.0   0.0   1.0	 1.0   0.0   4.0   0.0	 5.0   0.0
VAVI   1.0   0.0  15.0	30.0  20.0  30.0  25.0	15.0  10.0  25.0   5.0	10.0  20.0  15.0  10.0	20.0  15.0  20.0   5.0	10.0   0.0  20.0   2.0	 5.0   5.0
ACMI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ANMU   0.5   0.5   0.5	 1.0   0.0   0.5   1.0	 0.5   0.5   0.5   0.5	 0.0   0.0   0.5   0.5	 0.0   0.0   0.5   0.5	 0.5   0.5   0.5   0.5	 0.5   0.5

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i
ANPA   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ANRA   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ARCA   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.5	 0.0   0.0
ASLA   1.0   0.0   1.0	 1.0   0.0   1.0   1.0	 3.0   0.0   0.0   1.0	 1.0   0.5   0.5   2.0	 0.5   0.5   1.0   1.0	 1.0   2.0   1.0   0.0	 1.0   1.0
CARO   0.5   0.0   0.5	 1.0   0.0   0.0   0.5	 0.5   0.5   0.0   0.5	 0.0   0.5   0.5   0.0	 0.5   0.0   0.5   0.5	 0.0   0.0   0.5   0.0	 0.0   0.0
EPAN   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ERGL   0.0   0.5   0.0	 0.5   0.0   0.0   0.0	 0.5   0.0   0.0   0.0	 0.5   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
FRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
GABO   0.5   0.5   0.0	 0.5   0.0   1.0   0.5	 1.0   1.0   0.5   1.0	 1.0   1.0   0.0   1.0	 0.0   0.0   0.0   0.0	 1.0   0.5   0.5   0.5	 0.5   0.5
GELI   0.0   0.0   0.0	 0.5   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
HIUM   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.5   0.0   0.0   0.5	 0.5   0.0   0.5   0.5	 0.5   0.0
LAOC   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
LIBO   0.0   0.0   0.0	 0.0   5.0   0.0   0.0	 0.0   0.0   4.0   0.0	 0.0   5.0   0.0   0.0	 0.0   0.0   0.0   0.0	 1.0   0.0   0.0   0.0	 0.0   0.0
LIPH   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
