STAND 1, SURVEY DATE: 02 Jun 1990, OBSERVER: G.H. La Roi (#1), ROWS: 0,4,6, DATA ENTRY: 12 Feb 1996   (note:ALCR & VAVI lvs 20% & 33% enlarged;VAMY,ARUV & PRPE flowering;AMAL leafless;"Old#1")

QUAD  0A    0C    0E    0G    0I    0a    0c    0e    0g    0i    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    6i    6g    6e    6c    6a    4a    4c    4e    4g    4i

PIBA   3.0  18.0   8.0   8.0  16.0   0.0   0.0   0.0   0.0   0.0   8.0   8.0   4.0   6.0   7.0   6.0  21.0   5.0   7.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ALCR   0.0   0.0   1.0   0.5   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.01  0.01  0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.5   0.0   0.0   0.01  0.1   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV  14.0   1.0  17.0  18.0   4.0   0.0   0.0   0.0   0.0   0.0   5.0   8.0   9.0  18.0  24.0  19.0  25.0  19.0  17.0  12.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PRVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.5   0.1   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.1   1.0   2.0   0.5   0.1   0.01  0.5   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SHCA   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.5   0.01  0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.1   1.0   3.0   4.0   0.5   2.0   0.5   1.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   2.0   0.01  7.0  16.0   4.0   0.0   0.0   0.0   0.0   0.0   1.0   3.0   6.0   9.0   4.0  11.0  16.0   5.0   6.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    0a    0c    0e    0g    0i    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    6i    6g    6e    6c    6a    4a    4c    4e    4g    4i
ANPA   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.01  0.01  0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANRA   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARCA   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASLA   0.5   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
