quad,year,month,stand,stand_size,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,LECGRA
0G,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,55,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,NA,0.1,4,0.1,0.1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.1,0.1,NA,0.01,NA
0I,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,50,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,2,NA,NA,NA,3,0.1,NA,NA,NA,NA,2,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.1,NA,0.01,NA
4A,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,15,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,NA,0.01,2,NA,1,0.01,NA,NA,7,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4C,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,40,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1,NA,0.01,NA,1,0.1,0.1,0.01,NA,NA,20,NA,NA,3,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4E,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,25,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,0.1,0.1,0.01,NA,NA,3,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4G,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0.01,NA,7,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,1,NA,0.01,NA,5,0.1,0.01,NA,NA,NA,0.01,NA,NA,1,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
4I,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,6,NA,NA,0.01,NA,NA,NA,NA,0.1,NA,1,NA,0.01,0.01,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
8A,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,0.01,0.1,0.1,NA,3,NA,0.01,0.01,5,0.1,NA,NA,NA,NA,1,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
8C,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.1,NA,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,0.01,0.01,5,NA,0.1,0.01,NA,NA,3,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
8E,1981,8,MD,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,0.01,5,0.1,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,0.1,0.1,0.01,0.1,NA,0.01,0.1,0.01,NA,0.01,NA
8G,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,0.01,NA,1,0.1,0.1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
8I,1981,8,MD,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0.01,3,NA,0.01,0.01,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
0A,1981,8,ML,25,NA,0.01,NA,1,NA,NA,NA,NA,0.1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0.01,0.1,0.01,NA,NA,NA,NA,0.01,NA,0.01,NA
0C,1981,8,ML,25,NA,NA,0.01,0.1,NA,NA,NA,NA,0.1,NA,1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.01,NA
0E,1981,8,ML,25,NA,NA,NA,1,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,0.01,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,0.01,NA,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,0.1,NA,NA,NA,NA,NA
0G,1981,8,ML,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.1,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,0.01,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,NA,0.1,NA,0.01,0.1,0.1,NA,0.01,NA
0I,1981,8,ML,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0.01,NA,NA,NA,NA,0.01,NA,0.01,0.01,NA,0.01,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,0.1,0.01,NA,NA,NA,0.01,0.01,NA,NA,NA
4A,1981,8,ML,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
4C,1981,8,ML,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,10,NA,0.01,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,0.01,0.01,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,0.01,0.01,0.1,NA,NA,NA
4E,1981,8,ML,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0.1,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.1,NA,NA,0.01,NA
4G,1981,8,ML,25,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,0.1,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.1,NA,NA,NA,0.01,0.01,NA,NA,0.01,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,0.1,NA,NA,NA,NA,NA
4I,1981,8,ML,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,65,NA,0.1,NA,NA,NA,0.01,0.01,NA,NA,0.01,NA,NA,NA,NA,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,0.01,NA,NA,0.1,NA,NA,0.01,NA
8A,1981,8,ML,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,0.1,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
8C,1981,8,ML,25,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,0.01,0.1,NA,NA,NA,NA,0.01,NA,NA,0.01,NA,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,0.01,NA,NA,NA,NA
8E,1981,8,ML,25,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,85,NA,1,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,NA
8G,1981,8,ML,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.01,NA,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.1,0.01,NA,0.01,NA
8I,1981,8,ML,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,0.01,NA,0.01,NA,0.01,0.01,NA,NA,0.01,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,0.01,0.01,NA,NA,NA
0A,1981,8,OI,25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,30,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,0.01,0.01,0.1,1,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,0.1,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
0C,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,0.01,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0E,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,7,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,25,NA,NA,NA,0.01,NA,NA,NA,1,NA,0.1,NA,0.01,0.01,1,1,1,0.01,NA,NA,0.01,0.01,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0G,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,6,NA,NA,NA,NA,NA,NA,NA,0.1,NA,55,NA,0.01,NA,0.01,NA,NA,0.01,0.01,NA,0.1,NA,0.01,0.01,1,0.1,2,NA,NA,NA,0.01,NA,NA,0.01,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,NA,0.1,0.01,NA,0.01,NA
0I,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,15,NA,NA,NA,NA,NA,NA,NA,0.01,NA,65,NA,NA,NA,0.01,NA,0.01,0.01,1,NA,0.1,0.01,0.01,NA,0.1,1,1,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4A,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,40,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,NA,0.01,0.1,0.1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4C,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,1,NA,35,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,1,NA,0.01,0.01,1,0.1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4E,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,20,NA,NA,NA,NA,NA,NA,0.01,NA,NA,1,0.01,0.01,NA,0.01,0.1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4G,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,25,NA,NA,NA,0.01,NA,0.01,0.1,0.1,NA,1,NA,0.01,0.01,1,0.1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4I,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,20,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.01,NA
8A,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,65,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,1,NA,0.01,NA,1,0.1,0.1,NA,NA,NA,0.1,0.01,NA,0.1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8C,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,0.1,0.1,1,NA,NA,NA,0.01,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8E,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01,NA,NA,NA,NA,NA,NA,NA,1,NA,30,NA,NA,NA,NA,NA,0.01,0.1,0.01,NA,1,NA,0.01,0.01,0.01,0.1,0.1,NA,NA,NA,0.01,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
8G,1981,8,OI,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.01,NA,NA,0.01,NA,NA,0.1,NA,0.01,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.1,NA,0.01,NA
8I,1981,8,OI,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.1,NA,0.1,0.01,0.01,0.01,0.01,NA
0A,1981,8,SJ,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,65,0.01,0.1,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,0.01,0.1,NA,1,0.1,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.01,0.01,0.1,0.1,0.1,NA,0.01,0.01,0.01,NA,0.01,NA
0C,1981,8,SJ,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,1,NA,NA,NA,0.01,0.01,NA,NA,0.1,NA,0.01,0.01,0.1,1,0.01,NA,NA,NA,0.1,NA,NA,2,NA,NA,NA,0.01,0.1,0.1,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
0E,1981,8,SJ,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,0.1,NA,NA,NA,0.01,NA,NA,NA,1,NA,NA,0.01,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0G,1981,8,SJ,25,NA,0.01,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,1,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,0.01,0.01,0.1,0.1,NA,NA,NA,0.1,NA,NA,4,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0I,1981,8,SJ,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,50,NA,0.1,NA,0.01,NA,0.01,0.01,NA,NA,0.1,NA,0.01,0.1,0.1,1,0.1,NA,NA,NA,0.1,NA,NA,2,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4A,1981,8,SJ,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,80,NA,1,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,0.01,0.01,0.01,0.1,NA,NA,NA,NA,0.01,NA,NA,3,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
4C,1981,8,SJ,25,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,0.01,NA,NA,3,NA,0.1,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4E,1981,8,SJ,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,35,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,0.01,0.1,1,0.1,NA,NA,NA,0.1,NA,0.1,3,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
4G,1981,8,SJ,25,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,0.1,NA,NA,2,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4I,1981,8,SJ,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,1,NA,70,NA,0.1,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,0.1,0.01,NA,0.01,NA
8A,1981,8,SJ,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,80,0.01,0.01,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,NA,0.1,1,0.1,NA,NA,NA,0.1,NA,NA,4,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
8C,1981,8,SJ,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,70,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,0.01,0.1,0.1,0.1,NA,NA,NA,0.1,NA,NA,2,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,0.01,0.1,0.01,NA,0.01,NA
8E,1981,8,SJ,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,45,NA,0.1,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.1,0.01,0.1,NA,0.01,0.01,0.01,NA,0.01,NA
8G,1981,8,SJ,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,80,NA,0.1,NA,0.01,NA,0.01,0.01,0.01,NA,0.1,NA,0.01,0.1,0.1,0.1,0.1,NA,NA,NA,0.01,NA,NA,3,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8I,1981,8,SJ,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,75,NA,1,NA,NA,NA,0.01,0.1,NA,NA,0.1,NA,NA,0.01,0.1,1,0.1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.01,0.1,0.01,0.1,NA,0.01,0.1,0.01,NA,0.01,NA
0A,1981,8,BH,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,45,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,0.01,0.1,1,0.1,NA,NA,NA,NA,NA,NA,3,0.01,0.01,NA,0.01,1,0.1,0.01,2,NA,0.01,0.1,0.1,NA,1,NA
0C,1981,8,BH,25,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,0.1,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,0.1,NA,NA,1,0.01,0.01,0.01,1,0.1,0.1,NA,NA,NA,NA,NA,1,4,NA,NA,NA,0.01,0.01,0.1,0.01,0.01,NA,NA,0.01,0.1,NA,0.1,NA
0E,1981,8,BH,25,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,0.01,NA,0.01,NA,0.01,NA,NA,NA,0.01,NA,25,NA,0.01,NA,NA,NA,NA,0.1,NA,NA,1,NA,0.01,0.01,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1,NA,0.01,NA,0.01,0.1,0.1,0.01,0.1,NA,NA,0.1,0.01,NA,0.01,NA
0G,1981,8,BH,25,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,50,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,0.1,NA,0.01,0.01,0.01,0.1,0.01,NA,NA,NA,NA,NA,1,5,NA,NA,NA,0.1,0.01,0.01,0.01,0.1,NA,NA,0.01,0.01,NA,0.01,NA
0I,1981,8,BH,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,0.01,0.01,0.1,1,NA,NA,NA,NA,NA,NA,0.1,4,NA,NA,NA,0.01,0.1,0.1,0.01,0.1,NA,NA,0.01,0.01,NA,0.1,NA
4A,1981,8,BH,25,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,0.01,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.1,0.01,NA,0.01,NA
4C,1981,8,BH,25,NA,NA,0.1,0.01,0.01,NA,NA,NA,NA,NA,0.1,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0.01,0.1,0.01,NA,1,NA,0.01,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.1,0.01,1,NA,NA,0.1,0.01,NA,0.01,NA
