STAND 7, SURVEY DATEs: 30 Jul, 4 Aug, 7 Aug 1985, OBSERVERS: G.H. La Roi (#1), 4 Aug, ROWS: 0,2,4, M.S. Ross (#3), 30 Jul, ROWS: 4,6,8, R.A. Ellis (#2), ROW 4, 7 Aug 1985 DATA ENTRY: 21 Nov 1999 (note: GHLR used soil thermometer #??, MSR used #??,
         RAE did not measure soil temp.) MSR data from Row 4 in 4a-i below; RAE data from Row 4 in 4aa-ii below and NOT used in MTRX file!!. Several notes on data sheets not legible on photocopy, incl thermometer #'s.

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii

LALA   4.0   5.0   1.0   0.0   0.1   0.1   0.1   5.0   0.5   0.5   2.0   0.0   1.0   0.1   0.0   0.01  0.1   0.5   0.5   0.5   0.5   0.5   0.1   0.1   0.5   1.0   0.0   0.1   0.0   0.0   1.0   0.5   0.5   0.0   0.0
PIMA  22.0  13.0  30.0  25.0  25.0  30.0  30.0  20.0  30.0  27.0  25.0  20.0  12.0  20.0  12.0  10.0  25.0  15.0  11.0   7.0  10.0   3.0   7.0  18.0  25.0  17.0  30.0   7.0  25.0   6.0  17.0  25.0  15.0  20.0  20.0
ANPO   1.0   1.0   1.0   2.0   2.0   1.0   2.0   1.0   1.0   2.0   1.0   1.0   2.0   2.0   1.0   0.5   0.1   0.1   0.0   0.1   2.0   2.0   0.5   0.5   0.5   0.1   0.0   0.5   0.5   0.1   0.5   1.0   0.5   1.0   1.0
BEPU   3.0   2.0   2.0   2.0   1.0   3.0   2.0   5.0   1.0   2.0   1.0   2.0   5.0   3.0   5.0   4.0   1.0   4.0   3.0   0.5   7.0  12.0   8.0   1.0   2.0   0.5   3.0   6.0   2.0   6.0   0.0   2.0   4.0   1.0   3.0
LEGR   0.0   2.0  10.0   3.0   9.0   5.0   8.0   3.0  10.0  12.0  10.0   6.0   3.0   8.0   3.0   3.0   7.0   8.0   4.0   6.0   0.0   0.0   0.5  10.0   4.0   8.0   6.0   1.0   4.0   2.0   6.0   4.0   1.0   3.0   1.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
OXMI   0.1   0.1   0.1   0.01  1.0   1.0   1.0   1.0   2.0   0.1   1.0   1.0   1.0   0.1   2.0   0.1   0.5   2.0   0.0   1.0   0.0   0.5   0.0   0.0   0.1   0.5   2.0   1.0   0.1   2.0   0.5   1.0   1.0   0.5   1.0
SAAR   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   1.0   1.0   0.0   0.5   0.0   0.5   0.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   5.0   0.0   1.0   0.0   0.0   0.5   0.0   1.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0
SACA   1.0   0.5   1.0   1.0   0.1   1.0   0.1   1.0   1.0   0.5   0.1   1.0   0.5   0.5   2.0   1.0   0.0   0.5   2.0   0.5   2.0   1.0   1.0   0.0   1.0   0.1   2.0   0.5   1.0   2.0   0.5   0.5   0.1   0.1   1.0
SAMY   0.0   0.0   0.0   2.0   4.0   2.0   4.0   0.0   1.0   5.0   8.0   3.0   0.0   5.0   1.0   0.5   1.0   0.0   0.0   6.0   0.0   0.0   0.0   8.0   4.0  10.0   4.0   0.0   1.0   0.5   4.0   5.0   0.0   2.0   0.0
SAPE   0.5   1.0   1.0   0.5   0.5   0.5   1.0   1.0   0.5   0.5   4.0   0.5   1.0   2.0   0.5   0.5   2.0   0.1   1.0   1.0   4.0   3.0   2.0   0.0   2.0   0.5   0.1   0.5   4.0   0.5   0.5   0.5   1.0   0.1   1.0
VAMY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0
ASBO   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.1   0.01  0.1   0.01  0.01  0.01  0.1   0.1   0.01  0.01  0.01  0.01  0.1   0.0   0.01  0.1   0.1   0.1   0.0   0.5   0.5   0.5   0.0   0.1   0.01  0.0   0.5   0.1   0.0   0.1   0.1   0.1   0.1   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
DRRO   0.0   0.0   0.1   0.01  0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GALA   0.1   0.1   0.5   0.0   0.0   0.0   0.1   0.01  0.0   0.01  0.0   0.0   0.1   0.01  0.1   0.01  0.0   0.01  0.1   0.1   0.5   1.0   1.0   0.1   0.1   0.0   0.0   0.5   0.0   0.5   0.0   0.1   0.1   0.01  0.1
GELI   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.5   0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.1   0.0   0.0
HAHY   0.1   0.0   0.0   0.0   0.01  0.01  0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.1   0.01  0.01  0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.1
LIBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
METR   4.0   3.0   5.0   3.0   1.0   0.5   0.5   2.0   1.0   0.0   0.0   2.0   2.0   3.0   3.0   3.0   3.0   3.0   3.0   2.0   4.0   4.0   6.0   5.0   5.0   0.0   1.0   4.0   5.0   3.0   0.0   2.0   1.0   3.0   2.0
MINU   0.0   0.1   0.01  0.01  0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0
ORRO   0.5   1.0   0.0   1.0   0.5   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.5   0.1   0.0
PAPA   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01
