STAND 1, SURVEY DATE: 1 Jul 1989, OBSERVER: G.H. La Roi (#1), ROWS: 0,4,6,  DATA ENTRY: 23 Dec 1995   (note: 1010 ml in rain gauge; GHLR used thermometer "Old #1")

QUAD  0A    0C	  0E	0G    0I    0a	  0c	0e    0g    0i	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i

PIBA   1.0  18.0   7.0	 8.0  11.0   0.0   0.0	 0.0   0.0   0.0   7.0	 7.0   4.0   6.0   7.0	 6.0  20.0   5.0   7.0	 8.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ALCR   0.0   0.0   2.0	 1.0   5.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AMAL   1.0   1.0   0.1	 0.1   2.0   0.0   0.0	 0.0   0.0   0.0   1.0	 3.0   4.0   0.0   0.0	 0.1   1.0   2.0   2.0	 2.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ARUV  17.0   2.0  11.0	14.0   4.0   0.0   0.0	 0.0   0.0   0.0   5.0	 8.0   7.0  15.0  13.0	22.0  25.0  16.0  10.0	10.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PRPE   0.5   0.1   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PRVI   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROAC   2.0   0.1   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.5	 2.0   3.0   1.0   0.1	 0.5   1.0   2.0   0.0	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
