STAND 1, SURVEY DATE: 12 May 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A,4C,4E, R.A. Ellis (#2), ROWS: 4G,4I,6,8, DATA ENTRY: 7 Nov 1995   (note: uncertain who surveyed N & S halves!)

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   2.0  35.0  10.0	20.0  30.0   8.0  20.0	12.0  20.0  25.0   5.0	 8.0   6.0  10.0   7.0	10.0  20.0   5.0   5.0	 7.0   2.0  20.0   2.0	15.0  10.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ALCR   0.0   0.0   0.5	 0.5   5.0   3.0   0.0	 0.0   0.0   0.5   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
AMAL   0.5   0.1   0.0	 0.1   0.5   0.5   0.1	 0.5   0.5   0.0   0.5	 0.5   0.5   0.0   0.0	 0.1   0.5   0.5   0.1	 0.1   0.0   0.0   0.1	 0.1   0.1
ARUV  20.0   5.0  30.0	15.0  10.0  20.0  15.0	15.0  30.0  15.0  10.0	15.0  20.0  12.0  55.0	25.0  20.0  25.0  30.0	25.0  12.0  35.0  22.0	35.0  55.0
PRPE   0.0   0.0   0.0	 0.0   0.0   0.1   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ROAC   0.5   0.0   0.0	 0.5   0.5   0.5   0.0	 0.0   0.5   0.1   0.5	 0.5   0.5   0.5   0.1	 0.0   0.5   0.5   0.0	 0.5   0.0   0.0   0.5	 0.5   0.0
RUID   0.0   0.0   0.0	 0.0   0.0   0.5   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
SHCA   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.5   0.0   0.5   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
