stand,quad,tree_tag,species_code,tree_code_1983,DBH_1983_cm,stem_height_1983_m,age_1983
ML,0A,6,PIBA,L,7.4,NA,NA
ML,0A,9,PIBA,D,8.4,NA,NA
ML,0A,8,PIBA,L,9.4,NA,NA
ML,0A,7,PIBA,L,11.2,NA,NA
ML,0A,2,PIBA,D,10.2,NA,NA
ML,0A,1,PIBA,D,15,NA,NA
ML,0A,3,PIBA,L,13.5,NA,NA
ML,0A,4,PIBA,L,7.4,NA,NA
ML,0A,5,PIBA,L,8.6,NA,NA
ML,0B,10,PIBA,D,10.7,NA,NA
ML,0B,11,PIBA,L,10.4,NA,NA
ML,0B,12,PIBA,D,10.9,11.7,37
ML,0B,15,PIBA,L,8.1,NA,NA
ML,0B,16,PIBA,L,6.3,NA,NA
ML,0B,13,PIBA,L,8.6,NA,NA
ML,0B,18,PIBA,L,3.6,NA,NA
ML,0B,17,PIBA,L,9.4,NA,NA
ML,0B,20,PIBA,L,13.7,NA,NA
ML,0B,19,PIBA,L,4.6,NA,NA
ML,0C,21,PIBA,L,5.3,NA,NA
ML,0C,22,PIBA,L,12.4,NA,NA
ML,0C,23,PIBA,L,3.8,NA,NA
ML,0C,24,PIBA,L,8.1,NA,NA
ML,0D,25,PIBA,L,5.6,NA,NA
ML,0D,26,PIBA,L,7.6,NA,NA
ML,0D,27,PIBA,L,7.9,NA,NA
ML,0D,28,PIBA,L,5.8,NA,NA
ML,0D,30,PIBA,L,3.8,NA,NA
ML,0D,29,PIBA,L,11.9,12.3,37
ML,0D,31,PIBA,L,9.7,NA,NA
ML,0D,32,PIBA,L,3.3,NA,NA
ML,0D,33,PIBA,L,5.8,NA,NA
ML,0D,34,PIBA,D,11.7,NA,NA
ML,0D,35,PIBA,L,4.6,NA,NA
ML,0E,36,PIBA,D,10.2,NA,NA
ML,0E,37,PIBA,L,10.2,NA,NA
ML,0E,38,PIBA,L,11.4,NA,NA
ML,0E,39,PIBA,D,8.6,NA,NA
ML,0F,40,PIBA,L,11.7,NA,NA
ML,0F,41,PIBA,L,10.9,NA,NA
ML,0F,42,PIBA,L,10.7,10.7,37
ML,0F,43,PIBA,D,10.4,NA,NA
ML,0G,44,PIBA,L,10.4,NA,NA
ML,0G,45,PIBA,L,11.2,NA,NA
ML,0I,46,PIBA,L,14.5,NA,NA
ML,0I,47,PIBA,L,11.9,NA,NA
ML,0I,49,PIBA,D,4.3,NA,NA
ML,0I,48,PIBA,L,12.7,NA,NA
ML,0I,50,PIBA,L,8.9,NA,NA
ML,0J,52,PIBA,L,13,NA,NA
ML,0J,53,PIBA,L,10.2,12.2,38
ML,0J,54,PIBA,L,10.2,11.4,35
ML,0J,56,PIBA,L,4.8,7,34
ML,0J,55,PIBA,L,8.1,NA,NA
ML,0J,59,PIBA,L,7.4,NA,NA
ML,0J,58,PIBA,L,8.9,NA,NA
ML,0J,57,PIBA,L,13.7,NA,NA
ML,0J,51,PIBA,L,14,NA,NA
ML,1J,61,PIBA,L,10.2,NA,NA
ML,1J,62,PIBA,L,13,NA,NA
ML,1I,63,PIBA,L,13.5,NA,NA
ML,1H,64,PIBA,L,14.7,NA,NA
ML,1H,65,PIBA,L,10.7,NA,NA
ML,1G,99,PIBA,D,14.5,NA,NA
ML,1G,99,PIBA,L,14.7,NA,NA
ML,1H,67,PIBA,D,10.4,NA,NA
ML,1H,68,PIBA,L,8.6,NA,NA
ML,1H,83,PIBA,D,9.4,NA,NA
ML,1E,70,PIBA,D,11.7,NA,NA
ML,1E,69,PIBA,D,11.2,NA,NA
ML,1E,71,PIBA,D,11.2,NA,NA
ML,1E,72,PIBA,D,9.4,NA,NA
ML,1E,74,PIBA,L,5.8,NA,NA
ML,1E,73,PIBA,L,10.9,NA,NA
ML,1E,75,PIBA,L,6.9,NA,NA
ML,1E,76,PIBA,L,5.3,NA,NA
ML,1E,77,PIBA,L,5.6,10.6,32
ML,1E,78,PIBA,L,8.4,NA,NA
ML,1E,82,PIBA,L,9.9,NA,NA
ML,1E,80,PIBA,D,4.6,NA,NA
ML,1E,81,PIBA,L,6.1,NA,NA
ML,1D,84,PIBA,L,7.4,NA,NA
ML,1D,85,PIBA,L,9.4,NA,NA
ML,1D,86,PIBA,L,9.4,NA,NA
ML,1D,87,PIBA,L,4.6,NA,NA
ML,1D,92,PIBA,L,6.1,NA,NA
ML,1D,88,PIBA,L,11.2,NA,NA
ML,1D,89,PIBA,L,7.9,9.4,29
ML,1D,91,PIBA,L,4.8,NA,NA
ML,1C,93,PIBA,L,4.8,NA,NA
ML,1C,94,PIBA,D,3.6,NA,NA
ML,1C,98,PIBA,L,9.1,NA,NA
ML,1C,99,PIBA,L,6.1,NA,NA
ML,1C,97,PIBA,L,8.4,NA,NA
