STAND 5, SURVEY DATES: 31 Jul(MSR), 3 Aug(GHLR) & 7 Aug(RAE) 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#3), ROWS: 4,6,8, R.A. Ellis (#2), ROW: 4, DATA ENTRY: 14 Jan 1998 (note: GHLR used thermometer "Old #1"; MSR used "M"? MSR data from
Row 4 entered in 4a-i below; RAE data for Row 4 entered in 4aa-ii below and NOT used in data matrix or 1-2-3 files; because Rows were surveyed 4 days apart, soil temperature data should be scrutinized carefully!; note incredible differences among
observers' POTR cover estimates!; RAE says ABBA is in 4G and gets a 0.01 there; RAE did not measure temp in Row 4).

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii

BEPA   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0
PIGL  16.0   8.0  11.0   4.0   7.0  25.0  13.0  15.0  15.0  30.0  40.0  17.0  26.0  11.0  13.0  20.0   6.0  10.0   7.0  30.0   7.0  12.0  15.0   7.0  15.0  25.0   6.0  18.0  10.0   6.0  25.0  12.0  15.0   8.0   8.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  16.0  16.0   1.0  12.0  10.0  14.0  10.0  20.0  14.0  20.0  20.0  20.0  22.0  15.0  18.0  30.0  40.0  40.0  10.0  15.0  60.0  25.0  30.0   6.0  55.0  65.0  40.0  15.0  25.0  28.0   6.0   8.0   8.0   7.0   4.0
AMAL   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.5   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.5   0.5   0.5   0.0   0.5   0.5   0.5   0.5   3.0   0.1   0.1   0.5   0.5   0.0   0.5
LOIN   2.0   2.0   3.0   3.0   0.0   0.0   7.0   2.0   7.0   3.0   1.0   3.0   1.0   2.0   0.0   0.5   1.0   0.1   0.1   0.1   6.0   2.0   0.0   6.0   0.5   0.5   1.0   1.0   0.5   0.0   0.5   2.0   1.0   0.5   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
