quad,month,year,stand,temp_C
0A,8,2000,1,16.11111111111111
0C,8,2000,1,16.11111111111111
0E,8,2000,1,16.11111111111111
0G,8,2000,1,15
0I,8,2000,1,14.444444444444445
2I,8,2000,1,14.444444444444445
2G,8,2000,1,15
2E,8,2000,1,16.11111111111111
2C,8,2000,1,16.11111111111111
2A,8,2000,1,16.11111111111111
4A,8,2000,1,16.11111111111111
4C,8,2000,1,16.11111111111111
4E,8,2000,1,16.11111111111111
4G,8,2000,1,16.11111111111111
4I,8,2000,1,16.666666666666668
6I,8,2000,1,17.22222222222222
6G,8,2000,1,16.666666666666668
6E,8,2000,1,17.22222222222222
6C,8,2000,1,17.22222222222222
6A,8,2000,1,17.77777777777778
8A,8,2000,1,18.333333333333332
8C,8,2000,1,18.333333333333332
8E,8,2000,1,18.333333333333332
8G,8,2000,1,18.333333333333332
8I,8,2000,1,18.333333333333332
0A,8,2005,1,15
0C,8,2005,1,15
0E,8,2005,1,15
0G,8,2005,1,14.444444444444445
0I,8,2005,1,14.444444444444445
2I,8,2005,1,13.88888888888889
2G,8,2005,1,14.444444444444445
2E,8,2005,1,14.444444444444445
2C,8,2005,1,14.444444444444445
2A,8,2005,1,14.444444444444445
4A,8,2005,1,15
4C,8,2005,1,15
4E,8,2005,1,13.88888888888889
4G,8,2005,1,14.444444444444445
4I,8,2005,1,15
6I,8,2005,1,16.666666666666668
6G,8,2005,1,15.555555555555555
6E,8,2005,1,15.555555555555555
6C,8,2005,1,15.555555555555555
6A,8,2005,1,16.11111111111111
8A,8,2005,1,15.555555555555555
8C,8,2005,1,16.11111111111111
8E,8,2005,1,16.11111111111111
8G,8,2005,1,15.555555555555555
8I,8,2005,1,16.11111111111111
0A,8,2010,1,16.666666666666668
0C,8,2010,1,15.555555555555555
0E,8,2010,1,15
0G,8,2010,1,15
0I,8,2010,1,15
2I,8,2010,1,15
2G,8,2010,1,15.555555555555555
2E,8,2010,1,15.555555555555555
2C,8,2010,1,16.11111111111111
2A,8,2010,1,16.11111111111111
4A,8,2010,1,16.666666666666668
4C,8,2010,1,15
4E,8,2010,1,16.666666666666668
4G,8,2010,1,16.11111111111111
4I,8,2010,1,16.666666666666668
6I,8,2010,1,17.22222222222222
6G,8,2010,1,17.22222222222222
6E,8,2010,1,17.22222222222222
6C,8,2010,1,17.77777777777778
6A,8,2010,1,17.77777777777778
8A,8,2010,1,18.88888888888889
8C,8,2010,1,17.77777777777778
8E,8,2010,1,18.333333333333332
8G,8,2010,1,18.333333333333332
8I,8,2010,1,17.22222222222222
0A,8,1981,1,14.444444444444445
0C,8,1981,1,14.444444444444445
0E,8,1981,1,13.88888888888889
0G,8,1981,1,13.88888888888889
0I,8,1981,1,13.333333333333334
