STAND 4, SURVEY DATE: 10 Aug 1995, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8 DATA ENTRY: 11 Nov 2001 (note: GHLR used soil thermometer "Old#1"; BEPA & POTR have numerous "seedlings"
     with very low cover; high cover of PIMA in 8I due to live lean-in from 8J (45 degrees)) Viewed on PE32 23 Oct 2008, again on 25 Oct 2008

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  15.0  17.0  16.0  10.0  10.0  19.0  17.0  18.0  30.0  20.0  30.0   7.0   9.0  16.0  30.0  18.0  18.0  30.0  15.0  22.0  23.0  25.0  40.0  20.0  30.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01 20.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  24.0  32.0  30.0   3.0  48.0  35.0  27.0  29.0  11.0  35.0  12.0  52.0  43.0  15.0   1.0  20.0  50.0  20.0  50.0  55.0   0.0  30.0   4.0  30.0  16.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   4.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  12.0   0.0   0.0   5.0   0.0   0.0   0.0  11.0   0.0   0.0   0.0   0.0   0.0
POTR   0.01  0.5   0.0   0.1   0.01  0.0   3.0   0.0   0.1   0.1   2.0   0.01  7.0   8.0  10.0   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.5   0.01  0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   2.0   0.0   0.0   0.1   0.5   0.01  0.0   0.01  0.0   0.5   0.1   1.0   0.0   0.0   0.1   0.1   0.0   0.01  0.0   0.01  0.0   1.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   4.0   1.0   0.0   0.01  0.1   0.0   0.01  0.0   0.01  0.1   0.5   0.5   0.0   0.01  0.0   0.0   0.0   0.0   0.01  1.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   1.0   2.0   0.1   0.5   0.5   0.01  0.1   0.5   0.1   1.0   0.1   1.0   2.0   0.5   0.5   0.5   0.5   0.1   0.1   0.5   1.0   1.0   0.1   1.0   0.5   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.01  0.01  0.0   0.1   0.5   0.01  0.1   0.1   0.01  0.01  0.01  0.1   0.5   0.1   0.1   0.1   0.01  0.01  0.1   0.1   0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0
LIBO   2.0   3.0   0.5   0.01  0.1   0.0   0.1   0.01  0.1   1.0   0.1   0.5   0.5   0.01  0.01  0.1   0.01  0.5   0.1   1.0   2.0   1.0   0.5   3.0   0.1   0.0   0.0   0.0   0.0   0.0
MACA   0.1   1.0   0.1   0.01  0.1   0.01  0.01  0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.01  0.1   0.01  0.1   0.1   0.5   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
MEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
