component,sample_date,biomass,site,trap_number
pine_needles,1983-06-06,3.68,bp,1
male_cones,1983-06-06,0.04,bp,1
structural,1983-06-06,1.44,bp,1
total_litter,1983-06-06,5.16,bp,1
pine_needles,1983-07-01,7.6,bp,1
male_cones,1983-07-01,0.64,bp,1
structural,1983-07-01,0.8,bp,1
total_litter,1983-07-01,9.04,bp,1
pine_needles,1983-08-03,4.96,bp,1
male_cones,1983-08-03,1.16,bp,1
structural,1983-08-03,0.16,bp,1
total_litter,1983-08-03,6.28,bp,1
pine_needles,1983-08-05,2.36,bp,1
male_cones,1983-08-05,0.16,bp,1
structural,1983-08-05,5.72,bp,1
total_litter,1983-08-05,8.24,bp,1
pine_needles,1983-09-12,NA,bp,1
male_cones,1983-09-12,NA,bp,1
structural,1983-09-12,NA,bp,1
total_litter,1983-09-12,NA,bp,1
pine_needles,1983-09-15,9.56,bp,1
male_cones,1983-09-15,0,bp,1
structural,1983-09-15,0.04,bp,1
total_litter,1983-09-15,9.6,bp,1
pine_needles,1983-10-08,7.84,bp,1
male_cones,1983-10-08,0.04,bp,1
structural,1983-10-08,0.04,bp,1
total_litter,1983-10-08,7.92,bp,1
pine_needles,1984-05-05,38.44,bp,1
male_cones,1984-05-05,0,bp,1
structural,1984-05-05,0.88,bp,1
total_litter,1984-05-05,39.32,bp,1
pine_needles,1983-06-06,4.64,bp,2
male_cones,1983-06-06,0.12,bp,2
structural,1983-06-06,1.04,bp,2
total_litter,1983-06-06,5.8,bp,2
pine_needles,1983-07-01,7.48,bp,2
male_cones,1983-07-01,0.84,bp,2
structural,1983-07-01,0.64,bp,2
total_litter,1983-07-01,8.96,bp,2
pine_needles,1983-08-03,4.28,bp,2
male_cones,1983-08-03,0.84,bp,2
structural,1983-08-03,0.76,bp,2
total_litter,1983-08-03,5.88,bp,2
pine_needles,1983-08-05,2.56,bp,2
male_cones,1983-08-05,0.08,bp,2
structural,1983-08-05,1.72,bp,2
total_litter,1983-08-05,4.36,bp,2
pine_needles,1983-09-12,3.28,bp,2
male_cones,1983-09-12,0.08,bp,2
structural,1983-09-12,0.52,bp,2
total_litter,1983-09-12,3.88,bp,2
pine_needles,1983-09-15,13.64,bp,2
male_cones,1983-09-15,0.04,bp,2
structural,1983-09-15,0.08,bp,2
total_litter,1983-09-15,13.76,bp,2
pine_needles,1983-10-08,7.68,bp,2
male_cones,1983-10-08,0,bp,2
structural,1983-10-08,0.04,bp,2
total_litter,1983-10-08,7.72,bp,2
pine_needles,1984-05-05,42.96,bp,2
male_cones,1984-05-05,0.04,bp,2
structural,1984-05-05,0,bp,2
total_litter,1984-05-05,43,bp,2
pine_needles,1983-06-06,2.48,bp,3
male_cones,1983-06-06,0.08,bp,3
structural,1983-06-06,0.68,bp,3
total_litter,1983-06-06,3.24,bp,3
pine_needles,1983-07-01,5.12,bp,3
male_cones,1983-07-01,0.32,bp,3
structural,1983-07-01,1.04,bp,3
total_litter,1983-07-01,6.48,bp,3
pine_needles,1983-08-03,3.28,bp,3
male_cones,1983-08-03,0.36,bp,3
structural,1983-08-03,1.04,bp,3
total_litter,1983-08-03,4.68,bp,3
pine_needles,1983-08-05,0.84,bp,3
male_cones,1983-08-05,0.04,bp,3
structural,1983-08-05,1.36,bp,3
total_litter,1983-08-05,2.24,bp,3
pine_needles,1983-09-12,2.08,bp,3
male_cones,1983-09-12,0.04,bp,3
structural,1983-09-12,1.64,bp,3
total_litter,1983-09-12,3.76,bp,3
pine_needles,1983-09-15,9.88,bp,3
male_cones,1983-09-15,0.04,bp,3
structural,1983-09-15,0.4,bp,3
total_litter,1983-09-15,10.32,bp,3
pine_needles,1983-10-08,5.36,bp,3
male_cones,1983-10-08,0,bp,3
structural,1983-10-08,2.24,bp,3
total_litter,1983-10-08,7.6,bp,3
pine_needles,1984-05-05,23.52,bp,3
male_cones,1984-05-05,0.08,bp,3
structural,1984-05-05,5.6,bp,3
total_litter,1984-05-05,29.2,bp,3
pine_needles,1983-06-06,3.64,bp,4
male_cones,1983-06-06,0,bp,4
structural,1983-06-06,0.88,bp,4
total_litter,1983-06-06,4.52,bp,4
pine_needles,1983-07-01,6.68,bp,4
male_cones,1983-07-01,0.28,bp,4
structural,1983-07-01,0.76,bp,4
total_litter,1983-07-01,7.72,bp,4
pine_needles,1983-08-03,4.04,bp,4
male_cones,1983-08-03,0.68,bp,4
structural,1983-08-03,0.96,bp,4
total_litter,1983-08-03,5.68,bp,4
pine_needles,1983-08-05,1.92,bp,4
male_cones,1983-08-05,0.04,bp,4
structural,1983-08-05,0.28,bp,4
total_litter,1983-08-05,2.24,bp,4
pine_needles,1983-09-12,3.92,bp,4
male_cones,1983-09-12,0.04,bp,4
structural,1983-09-12,2.76,bp,4
total_litter,1983-09-12,6.72,bp,4
pine_needles,1983-09-15,12,bp,4
male_cones,1983-09-15,0,bp,4
structural,1983-09-15,0.04,bp,4
total_litter,1983-09-15,12.04,bp,4
pine_needles,1983-10-08,8.32,bp,4
male_cones,1983-10-08,0,bp,4
structural,1983-10-08,0,bp,4
total_litter,1983-10-08,8.32,bp,4
pine_needles,1984-05-05,40.92,bp,4
male_cones,1984-05-05,0.04,bp,4
structural,1984-05-05,5.48,bp,4
total_litter,1984-05-05,46.44,bp,4
pine_needles,1983-06-06,2.68,bp,5
male_cones,1983-06-06,0.04,bp,5
structural,1983-06-06,1.28,bp,5
total_litter,1983-06-06,4,bp,5
pine_needles,1983-07-01,3.92,bp,5
male_cones,1983-07-01,0.36,bp,5
structural,1983-07-01,1.36,bp,5
total_litter,1983-07-01,5.64,bp,5
pine_needles,1983-08-03,2.8,bp,5
male_cones,1983-08-03,0.44,bp,5
structural,1983-08-03,1.08,bp,5
total_litter,1983-08-03,4.32,bp,5
pine_needles,1983-08-05,1.28,bp,5
male_cones,1983-08-05,0.04,bp,5
structural,1983-08-05,1.52,bp,5
total_litter,1983-08-05,2.84,bp,5
pine_needles,1983-09-12,2.4,bp,5
male_cones,1983-09-12,0.04,bp,5
structural,1983-09-12,2.04,bp,5
total_litter,1983-09-12,4.48,bp,5
pine_needles,1983-09-15,8.76,bp,5
male_cones,1983-09-15,0.04,bp,5
structural,1983-09-15,0.52,bp,5
total_litter,1983-09-15,9.32,bp,5
pine_needles,1983-10-08,6.96,bp,5
male_cones,1983-10-08,0,bp,5
structural,1983-10-08,0,bp,5
total_litter,1983-10-08,6.96,bp,5
pine_needles,1984-05-05,26,bp,5
male_cones,1984-05-05,0,bp,5
structural,1984-05-05,4.88,bp,5
total_litter,1984-05-05,30.88,bp,5
pine_needles,1983-06-06,2.56,bp,6
male_cones,1983-06-06,0.04,bp,6
structural,1983-06-06,0.56,bp,6
total_litter,1983-06-06,3.16,bp,6
pine_needles,1983-07-01,5.84,bp,6
